Time,instant_load
2021/8/4 12:42:45,29.56765
2021/8/4 12:45:18,32.75062
2021/8/4 12:52:56,33.47019
2021/8/4 12:54:59,32.90715
2021/8/4 13:03:08,33.47063
2021/8/4 13:05:40,33.76979
2021/8/4 13:17:53,39.13247
2021/8/4 13:37:14,33.73940
2021/8/4 13:43:20,34.28352
2021/8/4 13:46:23,34.58552
2021/8/4 14:09:14,33.31350
2021/8/4 14:15:52,33.74004
2021/8/4 14:48:59,28.02633
2021/8/4 14:52:33,28.19337
2021/8/4 14:59:09,28.67276
2021/8/4 15:04:15,31.19652
2021/8/4 15:05:46,31.22964
2021/8/4 15:14:25,31.66055
2021/8/4 15:16:58,31.66292
2021/8/4 19:59:19,30.59380
2021/8/4 20:02:53,30.48776
2021/8/4 20:08:29,30.31189
2021/8/4 20:13:36,30.36798
2021/8/4 20:17:10,31.24931
2021/8/4 20:28:52,31.55774
2021/8/4 20:31:55,36.91515
2021/8/4 20:36:00,35.81379
2021/8/4 20:44:38,35.42736
2021/8/4 20:48:42,32.62540
2021/8/4 20:53:17,31.72031
2021/8/4 20:58:22,27.30282
2021/8/4 21:00:24,27.21443
2021/8/4 21:23:19,28.58618
2021/8/4 21:44:12,38.60120
2021/8/4 21:49:17,38.13641
2021/8/4 21:53:58,34.46690
2021/8/4 22:00:35,35.52649
2021/8/4 22:35:21,33.02642
2021/8/4 22:37:55,32.66711
2021/8/4 23:00:21,32.41121
2021/8/4 23:36:38,35.68156
2021/8/4 23:44:17,35.78069
2021/8/4 23:50:24,35.24439
2021/8/4 23:56:02,38.23654
2021/8/5 0:00:38,28.42409
2021/8/5 0:06:46,28.20634
2021/8/5 0:11:22,28.34961
2021/8/5 0:15:27,32.26802
2021/8/5 0:22:05,32.02542
2021/8/5 0:27:43,32.72796
2021/8/5 0:31:47,34.67158
2021/8/5 0:36:55,34.68921
2021/8/5 0:43:33,35.45174
2021/8/5 0:48:09,37.30750
2021/8/5 0:52:45,32.63821
2021/8/5 0:59:24,32.71106
2021/8/5 1:01:57,32.44475
2021/8/5 1:44:15,33.04510
2021/8/5 1:48:19,32.73403
2021/8/5 1:52:25,32.70855
2021/8/5 1:58:03,32.81667
2021/8/5 2:02:39,32.91248
2021/8/5 2:09:17,29.04991
2021/8/5 2:14:54,33.64524
2021/8/5 2:18:29,33.46537
2021/8/5 2:22:05,33.91056
2021/8/5 2:25:38,40.09946
2021/8/5 2:32:17,35.79407
2021/8/5 2:35:52,35.59776
2021/8/5 2:42:30,35.25718
2021/8/5 2:47:37,35.11153
2021/8/5 2:52:13,29.98167
2021/8/5 2:58:51,30.47058
2021/8/5 3:04:59,34.78725
2021/8/5 3:09:35,34.32473
2021/8/5 3:13:40,34.16130
2021/8/5 3:18:16,34.44251
2021/8/5 3:20:49,34.54921
2021/8/5 3:25:55,34.81624
2021/8/5 3:33:35,33.05977
2021/8/5 3:39:42,28.87962
2021/8/5 3:44:48,29.58635
2021/8/5 3:49:55,29.65420
2021/8/5 3:50:57,29.77373
2021/8/5 3:59:08,30.27548
2021/8/5 4:02:43,37.71605
2021/8/5 4:06:48,36.49865
2021/8/5 4:14:27,35.64011
2021/8/5 4:17:31,28.32690
2021/8/5 4:23:08,28.84568
2021/8/5 4:27:45,29.05076
2021/8/5 4:31:20,29.15120
2021/8/5 4:38:30,29.56126
2021/8/5 4:43:06,29.54285
2021/8/5 4:47:42,34.36705
2021/8/5 4:52:18,36.20238
2021/8/5 4:55:22,36.21270
2021/8/5 5:03:01,30.03471
2021/8/5 5:06:35,30.58515
2021/8/5 5:10:41,30.61929
2021/8/5 5:17:20,30.45743
2021/8/5 5:24:30,30.57082
2021/8/5 5:26:02,30.41118
2021/8/5 5:34:12,30.44867
2021/8/5 5:37:16,30.51823
2021/8/5 8:57:53,22.25377
2021/8/5 9:01:27,22.26835
2021/8/5 9:09:04,27.58144
2021/8/5 9:16:11,30.61182
2021/8/5 9:19:15,29.99560
2021/8/5 9:54:41,37.36066
2021/8/5 10:00:47,36.60450
2021/8/5 10:05:52,38.20625
2021/8/5 10:09:27,38.01274
2021/8/5 10:14:32,35.04910
2021/8/5 10:19:36,32.59536
2021/8/5 10:25:42,29.76686
2021/8/5 10:31:48,30.61877
2021/8/5 10:34:51,30.89927
2021/8/5 10:38:25,30.42262
2021/8/5 10:47:03,30.22741
2021/8/5 10:50:38,30.42216
2021/8/5 10:56:14,30.39984
2021/8/5 10:59:47,30.72448
2021/8/5 11:26:46,31.08181
2021/8/5 11:33:53,31.44170
2021/8/5 11:40:30,32.02818
2021/8/5 11:43:34,31.98604
2021/8/5 11:50:43,31.72458
2021/8/5 11:56:17,31.88542
2021/8/5 11:57:49,31.83559
2021/8/5 12:03:25,32.20582
2021/8/5 12:11:35,32.89593
2021/8/5 12:15:09,33.11042
2021/8/5 12:22:47,32.79671
2021/8/5 12:56:22,25.54458
2021/8/5 13:00:26,25.65136
2021/8/5 13:10:37,26.71807
2021/8/5 13:32:00,30.92602
2021/8/5 13:36:35,31.29402
